freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.876e+02,5.814e+00,6.642e+00,3.000e+02
1.6,1.927e+02,1.713e+01,2.429e+01,2.342e+02
3.2,7.231e+01,1.855e+01,2.667e+01,1.175e+02
4.8,4.617e+02,1.657e+01,2.705e+01,5.053e+02
6.4,1.331e+03,1.580e+01,2.735e+01,1.374e+03
8.0,2.090e+03,1.782e+01,2.822e+01,2.136e+03
9.6,3.007e+03,1.824e+01,2.942e+01,3.055e+03
11.2,4.251e+03,2.037e+01,2.785e+01,4.299e+03
12.9,5.810e+03,2.144e+01,2.909e+01,5.860e+03
14.5,7.768e+03,2.118e+01,2.942e+01,7.819e+03
16.1,7.826e+03,2.308e+01,3.298e+01,7.882e+03
17.7,7.205e+03,2.248e+01,3.510e+01,7.263e+03
19.3,8.842e+03,2.317e+01,4.002e+01,8.905e+03
20.9,1.068e+04,2.407e+01,4.235e+01,1.075e+04
22.5,1.250e+04,1.975e+01,4.648e+01,1.257e+04
24.1,1.454e+04,1.969e+01,5.162e+01,1.461e+04
25.7,1.675e+04,2.174e+01,5.662e+01,1.683e+04
27.3,1.841e+04,2.246e+01,7.909e+01,1.851e+04
28.9,2.113e+04,2.300e+01,8.465e+01,2.124e+04
30.5,2.462e+04,2.250e+01,8.785e+01,2.473e+04
32.1,2.792e+04,2.104e+01,7.753e+01,2.802e+04
33.7,3.211e+04,2.110e+01,5.525e+01,3.218e+04
35.3,3.729e+04,2.223e+01,5.466e+01,3.737e+04
37.0,4.386e+04,2.476e+01,7.489e+01,4.396e+04
38.6,5.279e+04,3.477e+01,6.694e+01,5.289e+04
40.2,6.281e+04,4.493e+01,5.306e+01,6.291e+04
41.8,7.410e+04,5.844e+01,5.023e+01,7.421e+04
43.4,7.801e+04,8.341e+01,1.448e+02,7.824e+04
45.0,7.747e+04,9.087e+01,3.520e+02,7.792e+04
46.6,9.187e+04,7.665e+01,6.333e+02,9.258e+04
48.2,1.164e+05,1.281e+02,1.195e+03,1.177e+05
49.8,1.437e+05,3.074e+02,2.032e+03,1.461e+05
51.4,1.902e+05,7.159e+02,2.828e+03,1.937e+05
53.0,2.672e+05,1.973e+03,4.517e+03,2.737e+05
54.6,3.708e+05,4.292e+03,8.168e+03,3.833e+05
56.2,5.025e+05,6.265e+03,1.110e+04,5.198e+05
57.8,7.128e+05,8.929e+03,1.323e+04,7.349e+05
59.4,1.046e+06,1.414e+04,1.546e+04,1.075e+06
61.0,1.172e+06,1.369e+04,1.116e+04,1.197e+06
62.7,1.110e+06,6.782e+03,4.579e+03,1.121e+06
64.3,9.280e+05,2.263e+03,2.059e+03,9.323e+05
65.9,6.235e+05,3.165e+03,2.663e+03,6.294e+05
67.5,3.702e+05,8.341e+03,4.337e+03,3.829e+05
69.1,2.217e+05,1.217e+04,4.725e+03,2.386e+05
70.7,1.524e+05,1.274e+04,3.812e+03,1.690e+05
72.3,1.116e+05,9.553e+03,2.452e+03,1.237e+05
73.9,8.148e+04,5.069e+03,1.236e+03,8.778e+04
75.5,6.172e+04,2.084e+03,4.893e+02,6.429e+04
77.1,4.680e+04,8.590e+02,1.911e+02,4.785e+04
78.7,3.355e+04,7.840e+02,1.892e+02,3.452e+04
80.3,2.351e+04,1.061e+03,3.876e+02,2.496e+04
81.9,1.695e+04,1.183e+03,7.035e+02,1.884e+04
83.5,1.667e+04,9.536e+02,9.263e+02,1.855e+04
85.1,2.806e+04,8.449e+02,8.985e+02,2.980e+04
86.8,5.638e+04,1.826e+03,7.278e+02,5.893e+04
88.4,9.689e+04,3.416e+03,5.788e+02,1.009e+05
90.0,1.328e+05,4.266e+03,6.038e+02,1.377e+05
91.6,1.424e+05,4.145e+03,7.951e+02,1.473e+05
93.2,1.315e+05,3.348e+03,8.804e+02,1.358e+05
94.8,1.115e+05,3.466e+03,5.995e+02,1.155e+05
96.4,9.139e+04,5.188e+03,3.855e+02,9.696e+04
98.0,7.398e+04,8.498e+03,3.169e+02,8.279e+04
99.6,5.544e+04,1.111e+04,3.427e+02,6.689e+04
101.2,4.057e+04,6.979e+03,4.146e+02,4.797e+04
102.8,3.169e+04,3.933e+03,4.678e+02,3.609e+04
