freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.962e+00,1.936e+02,3.470e+01,2.323e+02
1.6,1.370e+01,1.203e+02,3.867e+01,1.726e+02
3.2,1.439e+01,4.258e+01,2.438e+01,8.135e+01
4.8,1.399e+01,4.583e+02,2.426e+01,4.966e+02
6.4,1.423e+01,1.400e+03,2.757e+01,1.442e+03
8.0,1.321e+01,2.199e+03,2.854e+01,2.241e+03
9.6,1.400e+01,3.243e+03,2.811e+01,3.285e+03
11.2,1.438e+01,4.667e+03,2.736e+01,4.708e+03
12.9,1.321e+01,6.471e+03,2.820e+01,6.512e+03
14.5,2.228e+01,8.947e+03,2.991e+01,8.999e+03
16.1,5.675e+01,1.206e+04,3.269e+01,1.215e+04
17.7,6.800e+01,1.612e+04,3.310e+01,1.622e+04
19.3,5.092e+01,1.719e+04,3.297e+01,1.727e+04
20.9,3.040e+01,1.176e+04,3.338e+01,1.182e+04
22.5,1.848e+01,1.162e+04,3.293e+01,1.167e+04
24.1,2.625e+01,1.549e+04,3.657e+01,1.556e+04
25.7,4.489e+01,2.017e+04,4.802e+01,2.027e+04
27.3,3.472e+01,2.525e+04,8.232e+01,2.537e+04
28.9,2.239e+01,3.163e+04,1.305e+02,3.178e+04
30.5,2.438e+01,4.001e+04,1.909e+02,4.022e+04
32.1,2.579e+01,5.076e+04,2.546e+02,5.104e+04
33.7,3.340e+01,6.695e+04,3.800e+02,6.737e+04
35.3,4.972e+01,9.219e+04,7.751e+02,9.301e+04
37.0,6.584e+01,1.388e+05,1.471e+03,1.404e+05
38.6,1.813e+02,2.246e+05,3.821e+03,2.286e+05
40.2,3.635e+02,3.350e+05,7.999e+03,3.433e+05
41.8,4.544e+02,4.089e+05,1.883e+04,4.282e+05
43.4,1.135e+03,4.819e+05,4.229e+04,5.254e+05
45.0,2.694e+03,4.691e+05,7.038e+04,5.422e+05
46.6,3.300e+03,3.011e+05,8.508e+04,3.895e+05
48.2,2.753e+03,1.488e+05,8.470e+04,2.363e+05
49.8,1.912e+03,6.608e+04,7.751e+04,1.455e+05
51.4,1.301e+03,2.772e+04,7.261e+04,1.016e+05
53.0,8.915e+02,1.350e+04,6.762e+04,8.201e+04
54.6,5.925e+02,1.286e+04,6.389e+04,7.734e+04
56.2,3.269e+02,1.942e+04,5.704e+04,7.678e+04
57.8,2.315e+02,2.579e+04,4.536e+04,7.138e+04
59.4,5.983e+02,3.408e+04,4.058e+04,7.526e+04
61.1,1.427e+03,4.379e+04,4.139e+04,8.661e+04
62.7,1.977e+03,6.097e+04,4.531e+04,1.083e+05
64.3,1.609e+03,7.908e+04,4.672e+04,1.274e+05
65.9,1.189e+03,7.881e+04,3.891e+04,1.189e+05
67.5,1.443e+03,6.348e+04,2.698e+04,9.190e+04
69.1,1.744e+03,5.309e+04,1.964e+04,7.447e+04
70.7,1.217e+03,5.797e+04,1.950e+04,7.869e+04
72.3,7.128e+02,5.938e+04,1.923e+04,7.932e+04
73.9,4.862e+02,4.593e+04,1.504e+04,6.146e+04
75.5,4.925e+02,2.941e+04,9.411e+03,3.931e+04
77.1,6.229e+02,2.454e+04,6.461e+03,3.162e+04
78.7,8.845e+02,2.689e+04,6.012e+03,3.379e+04
80.3,1.040e+03,2.765e+04,6.004e+03,3.470e+04
81.9,1.130e+03,2.501e+04,5.243e+03,3.138e+04
83.5,1.166e+03,2.310e+04,4.260e+03,2.853e+04
85.1,1.215e+03,2.805e+04,3.449e+03,3.271e+04
86.8,1.351e+03,4.092e+04,2.942e+03,4.521e+04
88.4,1.789e+03,5.136e+04,4.154e+03,5.730e+04
90.0,1.862e+03,5.177e+04,7.240e+03,6.087e+04
91.6,1.570e+03,4.850e+04,8.872e+03,5.894e+04
93.2,1.469e+03,4.554e+04,9.058e+03,5.607e+04
94.8,1.407e+03,4.284e+04,8.827e+03,5.307e+04
96.4,1.305e+03,4.329e+04,8.135e+03,5.273e+04
98.0,1.037e+03,4.370e+04,7.563e+03,5.229e+04
99.6,9.674e+02,4.550e+04,6.572e+03,5.304e+04
101.2,9.009e+02,4.649e+04,5.744e+03,5.313e+04
102.8,9.253e+02,4.483e+04,4.849e+03,5.061e+04
104.4,9.131e+02,3.549e+04,3.907e+03,4.031e+04
106.0,8.673e+02,2.674e+04,3.250e+03,3.086e+04
107.6,7.204e+02,2.395e+04,3.388e+03,2.806e+04
109.2,5.360e+02,2.168e+04,3.552e+03,2.577e+04
110.9,4.683e+02,1.947e+04,3.517e+03,2.345e+04
112.5,5.291e+02,1.777e+04,3.129e+03,2.143e+04
114.1,5.750e+02,1.840e+04,2.618e+03,2.159e+04
115.7,5.516e+02,2.021e+04,2.176e+03,2.293e+04
117.3,5.957e+02,2.163e+04,1.704e+03,2.393e+04
118.9,8.045e+02,2.176e+04,1.459e+03,2.403e+04
120.5,9.905e+02,2.240e+04,1.278e+03,2.467e+04
122.1,9.903e+02,2.416e+04,1.094e+03,2.625e+04
123.7,9.779e+02,2.552e+04,9.016e+02,2.740e+04
125.3,1.000e+03,2.693e+04,7.540e+02,2.868e+04
126.9,9.658e+02,2.968e+04,6.544e+02,3.130e+04
128.5,9.380e+02,3.480e+04,5.218e+02,3.626e+04
130.1,1.418e+03,3.498e+04,4.419e+02,3.684e+04
131.7,1.691e+03,2.780e+04,3.471e+02,2.984e+04
133.3,1.104e+03,1.051e+04,1.650e+02,1.178e+04
135.0,7.173e+02,8.004e+02,6.228e+01,1.580e+03
136.6,6.912e+02,3.779e+02,4.224e+01,1.111e+03
138.2,6.862e+02,3.536e+02,3.435e+01,1.074e+03
139.8,5.553e+02,2.701e+02,2.973e+01,8.552e+02
141.4,4.300e+02,3.561e+02,3.014e+01,8.163e+02
143.0,3.424e+02,5.164e+02,3.052e+01,8.893e+02
144.6,2.634e+02,6.015e+02,2.762e+01,8.925e+02
146.2,2.008e+02,5.869e+02,2.928e+01,8.170e+02
147.8,1.417e+02,6.633e+02,3.080e+01,8.357e+02
149.4,1.099e+02,9.175e+02,3.430e+01,1.062e+03
151.0,1.218e+02,1.145e+03,3.847e+01,1.305e+03
